Nama Wisata,Deskripsi,Lokasi / Tempat,Fasilitas Yang Tersedia,Aksesibilitas,Jenis Wisata,Kategori,Child Friendly,Alamat,Link Alamat,Harga,Rentang Harga,Rating,latitude,longitude
Pantai Lenggoksono,"Pantai Lenggoksono terletak di Desa Purwodadi, Kecamatan Tirtoyudo, Malang, Jawa Timur. Pantai ini menawarkan keindahan alam dengan pasir putih yang lembut dan air laut yang biru jernih. Dikelilingi oleh perbukitan hijau dan pepohonan, Pantai Lenggoksono menciptakan suasana yang tenang dan alami. Ombak di pantai ini cukup besar, cocok untuk surfing dan memancing. Fasilitas yang tersedia meliputi area parkir, toilet, dan warung makan.","Desa Purwodadi, Tirtoyudo","Tempat parkir, toilet, warung makan, gazebo, spot diving, musholla, penginapan","makadam, kendaraan roda 2 dan 4, bus kecil",Pantai,"Family, Solo",Yes,"Purwodadi, Tirto Yudo, Purwodadi Kidul, Purwodadi, Kec. Tirtoyudo, Kabupaten Malang, Jawa Timur 65182","https://www.google.com/maps/place/Pantai+Lenggoksono/@-8.3723741,112.8389318,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd60f13f323233b:0x7b264c2cb9426f20!8m2!3d-8.3723743!4d112.8389318!16s%2Fg%2F11bbqnvnsk?hl=id&entry=ttu",10000,2,4.3,-8.3723741,112.8389318
Pantai Wediawu,"Pantai Wediawu berlokasi di Desa Pujiharjo, Kecamatan Tirtoyudo, Malang, Jawa Timur. Pantai ini terkenal dengan keindahan pasir putihnya yang bersih dan air laut yang biru jernih. Dikelilingi oleh tebing-tebing karang dan hutan lebat, Pantai Wediawu menawarkan pemandangan alam yang memukau dan suasana yang tenang. Ombak di pantai ini cukup besar, cocok untuk surfing. Fasilitas di pantai ini meliputi area parkir dan warung makan.","Desa Purwodadi, Tirtoyudo","Tempat parkir, toilet, warung makan, gazebo, area camping, musholla","makadam, kendaraan",Pantai,"Family, Solo",Yes,"Balearjo, Purwodadi, Kec. Tirtoyudo, Kabupaten Malang, Jawa Timur 65182","https://www.google.com/maps/place/Pantai+Wedi+Awu/@-8.3762077,112.8464794,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd60f181f81b15b:0x8ee4736987a36a75!8m2!3d-8.3762079!4d112.8464794!16s%2Fg%2F1q614w4r7?hl=id&entry=ttu",10000,2,4.5,-8.3762077,112.8464794
Pantai Teluk Kletekan,"Pantai Teluk Kletekan terletak di Desa Purwodadi, Kecamatan Tirtoyudo, Malang, Jawa Timur. Pantai ini memiliki keindahan alam yang menakjubkan dengan pasir putih yang lembut dan air laut yang biru jernih. Dikelilingi oleh tebing-tebing tinggi dan pepohonan hijau, Pantai Teluk Kletekan memberikan suasana yang tenang dan alami. Ombak di pantai ini cukup tenang, cocok untuk berenang dan snorkeling. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Purwodadi, Tirtoyudo","Tempat parkir, toilet, warung makan, gazebo, area camping, musholla","Jalan laut, Perahu",Pantai,"Family, Solo",Yes,"JR88+JQM, Teluk Lenggoksono Desa Purwodadi, Tirtoyudo, Kec. Tirtoyudo, Kabupaten Malang, Jawa Timur 65182","https://www.google.com/maps/place/Teluk+Kletakan/@-8.3834132,112.7818973,13z/data=!4m10!1m2!2m1!1sPantai+Teluk+Kletekan!3m6!1s0x2dd60f5e9e2788e5:0x843dc7b4c7d8e1e1!8m2!3d-8.3834132!4d112.8169162!15sChVQYW50YWkgVGVsdWsgS2xldGVrYW5aFyIVcGFudGFpIHRlbHVrIGtsZXRla2FukgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU52Tm5GTFZUQkJSUkFC4AEA!16s%2Fg%2F11cn9p79p4?hl=id&entry=ttu",10000,2,4.6,-8.3834132,112.7818973
Coban Sewu,"Coban Sewu, juga dikenal sebagai Tumpak Sewu, terletak di perbatasan antara Malang dan Lumajang, Jawa Timur. Air terjun ini memiliki ketinggian sekitar 120 meter dan menawarkan pemandangan yang spektakuler dengan aliran air yang menyerupai tirai. Dikelilingi oleh tebing-tebing tinggi dan vegetasi hijau, Coban Sewu menciptakan suasana yang sejuk dan alami. Pengunjung dapat menikmati trekking untuk mencapai lokasi ini, melewati jalur yang menantang namun memuaskan. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Sidorenggo, Ampelgading","Tempat parkir, toilet, warung makan, gazebo, musholla","jalan aspal, kendaraan roda 2 dan 4",Air Terjun,Solo,No,"Jln, Jagalan, Sidorenggo, Kec. Ampelgading, Kabupaten Malang, Jawa Timur 65183","https://www.google.com/maps/place/Loket+coban+sewu/@-8.2416962,112.9075515,15z/data=!4m10!1m2!2m1!1scoban+sewu+Desa+Sidorenggo,+Ampelgading!3m6!1s0x2dd613004593eab3:0x72e43ffc6e3912e5!8m2!3d-8.2416962!4d112.9163062!15sCidjb2JhbiBzZXd1IERlc2EgU2lkb3JlbmdnbywgQW1wZWxnYWRpbmeSARJ0b3VyaXN0X2F0dHJhY3Rpb27gAQA!16s%2Fg%2F11y3yrkm2n?hl=id&entry=ttu",15000,2,5,-8.2416962,112.9075515
Coban Jahe,"Coban Jahe terletak di Desa Pandansari Lor, Kecamatan Jabung, Malang, Jawa Timur. Air terjun ini menawarkan pemandangan yang indah dengan aliran air yang deras dan segar, menciptakan suasana yang sejuk dan alami. Dikelilingi oleh hutan pinus dan pepohonan hijau, Coban Jahe memberikan pengalaman wisata alam yang menenangkan. Tempat ini juga cocok untuk piknik dan trekking ringan. Fasilitas di Coban Jahe termasuk area parkir dan warung makan.","Desa Pandansari Lor, Jabung","Tempat parkir, toilet, warung makan, gazebo, spot foto, musholla, penginapan","makadam, kendaraan roda 2 dan 4",Air Terjun,Solo,No,"ds, Jl. Begawan, Dusun Krajan, Taji, Kec. Jabung, Kabupaten Malang, Jawa Timur 65155","https://www.google.com/maps/place/Coban+Jahe/@-7.9705673,112.8023017,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd62fddb5377e7b:0xe635dfe89acb6f83!8m2!3d-7.9705673!4d112.8023017!16s%2Fg%2F11b7ck5m8s?hl=id&entry=ttu",10000,2,4.5,-7.9705673,112.8023017
Coban Siuk,"Coban Siuk berlokasi di Desa Pujon Kidul, Kecamatan Pujon, Malang, Jawa Timur. Air terjun ini memiliki keindahan alam yang mempesona dengan aliran air yang jernih dan segar. Dikelilingi oleh hutan dan vegetasi hijau, Coban Siuk menawarkan suasana yang tenang dan menenangkan. Tempat ini juga cocok untuk trekking dan fotografi alam. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Taji, Jabung","Tempat parkir, toilet, warung makan, gazebo, musholla","makadam, kendaraan roda 2 dan 4",Air Terjun,Solo,No,"2RVC+589, Dusun Krajan, Taji, Kec. Jabung, Kabupaten Malang, Jawa Timur 65155","https://www.google.com/maps/place/Coban+Siuk/@-7.9570911,112.82087,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd6302e405c3857:0x79765d04b671a5c3!8m2!3d-7.9570911!4d112.82087!16s%2Fg%2F11cjj11xwv?hl=id&entry=ttu",10000,2,4.5,-7.9570911,112.82087
Coban Nawi,"Coban Nawi terletak di Desa Sukodono, Kecamatan Dampit, Malang, Jawa Timur. Air terjun ini menawarkan pemandangan yang indah dengan aliran air yang deras dan segar. Dikelilingi oleh pepohonan dan vegetasi hijau, Coban Nawi menciptakan suasana yang sejuk dan alami. Tempat ini juga cocok untuk aktivitas trekking dan fotografi alam. Fasilitas di Coban Nawi termasuk area parkir dan warung makan.","Desa Taji, Jabung","Tempat parkir, toilet, warung makan, gazebo, area camping, musholla","makadam, kendaraan roda 2 dan 4",Air Terjun,Solo,No,"Gedangan, Krajan Lor Gedangan, Gedangan, Kabupaten Malang, Jawa Timur 65178",https://www.google.com/search?q=coban+nirwana+malang&sca_esv=f1470b44e75781e4&sca_upv=1&rlz=1C1UEAD_enID951ID951&ei=_yBXZo6oEPzZseMPzJyoiAI&ved=0ahUKEwjOo_zZ77KGAxX8bGwGHUwOCiEQ4dUDCBA&uact=5&oq=coban+nirwana+malang&gs_lp=Egxnd3Mtd2l6LXNlcnAiFGNvYmFuIG5pcndhbmEgbWFsYW5nMg4QLhiABBjHARiOBRivATIGEAAYBxgeMgYQABgFGB4yAhAmMggQABiABBiiBDIIEAAYgAQYogQyHRAuGIAEGMcBGI4FGK8BGJcFGNwEGN4EGOAE2AEBSK0XUJgHWOEVcAF4AJABAJgBjAGgAakHqgEDNi4zuAEDyAEA-AEBmAIIoALuBsICBxAuGIAEGA3CAgcQABiABBgNwgIGEAAYDRgewgIIEAAYBRgNGB7CAgoQABgFGA0YHhgPwgIWEC4YgAQYDRiXBRjcBBjeBBjgBNgBAcICCBAAGAcYCBgewgIIEAAYDRgeGA_CAggQABgFGAcYHsICEBAuGIAEGMcBGA0YjgUYrwHCAh8QLhiABBjHARgNGI4FGK8BGJcFGNwEGN4EGOAE2AEBmAMAiAYBugYGCAEQARgUkgcDNC40oAfwQQ&sclient=gws-wiz-serp,10000,2,4,-8.3100871,112.6649291
Coban Barnawi,"Coban Barnawi berlokasi di Desa Sukodono, Kecamatan Dampit, Malang, Jawa Timur. Air terjun ini menawarkan keindahan alam yang mempesona dengan aliran air yang jernih dan segar. Dikelilingi oleh hutan dan vegetasi hijau, Coban Barnawi memberikan suasana yang tenang dan menenangkan. Tempat ini cocok untuk trekking ringan dan piknik. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Sukopuro, Jabung","Tempat parkir, toilet, warung makan, gazebo, musholla","makadam, kendaraan roda 2 dan 4",Air Terjun,Solo,No,"desa, Pandan Rejo Cincing No.dusun, Dusun Krajan, Sukopuro, Kec. Jabung, Kabupaten Malang, Jawa Timur 65155","https://www.google.com/maps/place/Coban+Barnawi+%EA%A6%95%EA%A6%BA%EA%A6%B4%EA%A6%A7%EA%A6%A4%EA%A7%80%EA%A6%A7%EA%A6%82%EA%A6%A4%EA%A7%80%EA%A6%A4%EA%A6%AE%EA%A6%B6/@-7.9750419,112.8094921,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd6301e409be4cd:0xaa3096071de051ba!8m2!3d-7.9750472!4d112.812067!16s%2Fg%2F11c5_n2bk7?entry=ttu",10000,2,4,-7.9750419,112.8094921
Coban Jidor,"Coban Jidor terletak di Desa Bendosari, Kecamatan Pujon, Malang, Jawa Timur. Air terjun ini menawarkan pemandangan yang indah dengan aliran air yang deras dan segar, menciptakan suasana yang sejuk dan alami. Dikelilingi oleh hutan pinus dan pepohonan hijau, Coban Jidor memberikan pengalaman wisata alam yang menenangkan. Tempat ini cocok untuk trekking ringan dan fotografi alam. Fasilitas di Coban Jidor termasuk area parkir dan warung makan.","Desa Ngadirejo, Jabung","Tempat parkir, toilet, warung makan, gazebo, musholla","makadam, Tracking",Air Terjun,Solo,No,"XRX5+V2H, Dusun Krajan Bendolaw, Ngadirejo, Kec. Jabung, Kabupaten Malang, Jawa Timur 65156","https://www.google.com/maps/place/Coban+Jidor/@-8.0003129,112.8075991,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd625525743489d:0x471117393086e3!8m2!3d-8.0003129!4d112.8075991!16s%2Fg%2F11cp7fhgpb?hl=id&entry=ttu",15000,2,4.5,-8.0003129,112.8075991
Coban Jodo,"Coban Jodo berlokasi di Desa Bendosari, Kecamatan Pujon, Malang, Jawa Timur. Air terjun ini memiliki keindahan alam yang menakjubkan dengan aliran air yang jernih dan segar. Dikelilingi oleh hutan dan vegetasi hijau, Coban Jodo menawarkan suasana yang tenang dan menenangkan. Tempat ini cocok untuk aktivitas trekking dan piknik. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Ngadirejo, Jabung","Tempat parkir, toilet, warung makan, gazebo, area camping, musholla","makadam, Tracking",Air Terjun,Solo,No,"Bendolawang, Dusun Krajan Bendolaw, Ngadirejo, Kec. Jabung, Kabupaten Malang, Jawa Timur 65156","https://www.google.com/maps/place/Coban+Jodo/@-7.9856864,112.8322674,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd63aa6d8793d91:0xb8ad3f28b3c7fac4!8m2!3d-7.9856864!4d112.8322674!16s%2Fg%2F11c1w_r609?hl=id&entry=ttu",15000,2,4.6,-7.9856864,112.8322674
Coban Singo,"Coban Singo terletak di Desa Gadingkulon, Kecamatan Dau, Malang, Jawa Timur. Air terjun ini menawarkan pemandangan alam yang memukau dengan aliran air yang deras dan segar. Dikelilingi oleh hutan dan vegetasi hijau, Coban Singo memberikan suasana yang sejuk dan alami. Tempat ini cocok untuk trekking dan fotografi alam. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Ngadirejo, Jabung","Tempat parkir, toilet, warung makan, gazebo, musholla","makadam, Tracking",Air Terjun,Solo,No,"Bendolawang, Dusun Krajan Bendolaw, Ngadirejo, Kec. Jabung, Kabupaten Malang, Jawa Timur 65156",https://www.google.com/search?q=Coban+Jodo&rlz=1C1UEAD_enID951ID951&oq=Coban+Jodo&gs_lcrp=EgZjaHJvbWUyDAgAEEUYORjjAhiABDINCAEQLhivARjHARiABDIICAIQABgWGB4yCAgDEAAYFhgeMggIBBAAGBYYHjIICAUQABgWGB4yDQgGEAAYhgMYgAQYigUyDQgHEAAYhgMYgAQYigUyCggIEAAYgAQYogQyCggJEAAYgAQYogSoAgCwAgE&sourceid=chrome&ie=UTF-8,10000,2,4.6,-7.9856864,112.8322674
Coban Supit Urang,"Coban Supit Urang berlokasi di Desa Sidorenggo, Kecamatan Ampelgading, Malang, Jawa Timur. Air terjun ini terkenal dengan keindahan alamnya yang masih alami dan aliran air yang jernih. Dikelilingi oleh hutan lebat dan perbukitan hijau, Coban Supit Urang memberikan suasana yang tenang dan menyegarkan. Tempat ini cocok untuk aktivitas trekking dan piknik. Fasilitas di Coban Supit Urang termasuk area parkir dan warung makan.","Desa Srigading, Lawang","Tempat parkir, toilet, warung makan, gazebo, musholla","makadam, Tracking",Air Terjun,Solo,No,"6F56+H4X, Madiredo, Pujon, Wiyurejo, Kec. Pujon, Kabupaten Malang, Jawa Timur 65392",https://www.google.com/search?q=Coban+Supit+Urang&sca_esv=f1470b44e75781e4&sca_upv=1&rlz=1C1UEAD_enID951ID951&ei=8SFXZtvJOIab4-EPkLSBoAw&ved=0ahUKEwibhtfN8LKGAxWGzTgGHRBaAMQQ4dUDCBA&uact=5&oq=Coban+Supit+Urang&gs_lp=Egxnd3Mtd2l6LXNlcnAiEUNvYmFuIFN1cGl0IFVyYW5nMg0QLhiABBgTGMcBGK8BMhAQLhiABBgTGMcBGI4FGK8BMgoQABgTGBYYHhgPMgIQJjILEAAYgAQYhgMYigUyCxAAGIAEGIYDGIoFMgsQABiABBiGAxiKBTILEAAYgAQYhgMYigUyCxAAGIAEGIYDGIoFMggQABiABBiiBDIcEC4YgAQYExjHARivARiXBRjcBBjeBBjgBNgBAkjSBlChAlihAnABeACQAQCYAbQBoAG0AaoBAzAuMbgBA8gBAPgBAfgBApgCAqAC3QGoAgrCAhYQLhgDGLQCGOUCGOoCGIwDGI8B2AEBwgIWEAAYAxi0AhjlAhjqAhiMAxiPAdgBAZgDEroGBAgBGAq6BgYIAhABGBSSBwUxLjAuMaAHvw0&sclient=gws-wiz-serp&lqi=ChFDb2JhbiBTdXBpdCBVcmFuZ0jItd-g7KqAgAhaLRAAEAEQAhgAGAEYAiIRY29iYW4gc3VwaXQgdXJhbmcqCAgCEAAQARACMgJpZJIBEnRvdXJpc3RfYXR0cmFjdGlvbqoBOhABMh8QASIbqPZttWOq7z15fwTuCxxNKQukq2ZyK_Z0d9sUMhUQAiIRY29iYW4gc3VwaXQgdXJhbmc#rlimm=16783925952787548251,15000,2,4.2,-7.7910044,112.4603522
Coban Pelangi,"Coban Pelangi terletak di Desa Gubugklakah, Kecamatan Poncokusumo, Malang, Jawa Timur. Air terjun ini memiliki keunikan dengan sering munculnya pelangi di sekitar aliran air, terutama saat sinar matahari mengenai air terjun. Dikelilingi oleh hutan pinus dan vegetasi hijau, Coban Pelangi memberikan pemandangan yang indah dan suasana yang menenangkan. Tempat ini cocok untuk trekking dan fotografi alam. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Gubugklakah, Poncokusumo","Tempat parkir, toilet, warung makan, gazebo, musholla, penginapan","jalan aspal,kendaraan roda 2 dan 4",Air Terjun,Solo,No,"Dusun Ngadas, Ngadas, Kec. Poncokusumo, Kabupaten Malang, Jawa Timur 65157",https://maps.app.goo.gl/FugXGrwwiVkDuNjcA,10000,2,4.6,-8.0112598,112.8615339
Coban Trisula,"Coban Trisula berlokasi di Desa Ngadas, Kecamatan Poncokusumo, Malang, Jawa Timur. Air terjun ini menawarkan keindahan alam dengan aliran air yang deras dan segar serta dikelilingi oleh hutan yang asri. Coban Trisula memiliki tiga aliran air terjun yang menyerupai trisula, menciptakan pemandangan yang unik dan menakjubkan. Tempat ini cocok untuk trekking dan piknik. Fasilitas di Coban Trisula meliputi area parkir dan warung makan.","Desa Gubugklakah, Poncokusumo","Tempat parkir, toilet, warung makan, gazebo, musholla, penginapan","jalan aspal,kendaraan roda 2 dan 4",Air Terjun,Solo,No,"2V29+6CM, Dusun Ngadas, Ngadas, Kec. Poncokusumo, Kabupaten Malang, Jawa Timur 65157","https://www.google.com/maps/place/Coban+Trisula/@-7.9994117,112.8636655,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd63a6f8df0cd77:0x641691898f8b5040!8m2!3d-7.999417!4d112.8685364!16s%2Fg%2F1hm2h_s_p?entry=ttu",15000,2,4.4,-7.9994117,112.8636655
Coban Rondo,"Coban Rondo terletak di Desa Pandesari, Kecamatan Pujon, Malang, Jawa Timur. Air terjun ini terkenal dengan legenda lokalnya dan memiliki aliran air yang deras dan segar. Dikelilingi oleh hutan pinus dan pepohonan hijau, Coban Rondo memberikan suasana yang sejuk dan alami. Tempat ini cocok untuk piknik, trekking, dan berbagai aktivitas outdoor. Fasilitas yang tersedia meliputi area parkir, toilet, dan warung makan.","Desa Pandesari, Pujon","Tempat parkir, toilet, warung makan, gazebo, musholla","makadam, kendaraan roda 2 dan 4",Air Terjun,Solo,No,"4F8G+2W4, Jl. Coban Rondo, Krajan, Pandesari, Kec. Pujon, Kabupaten Malang, Jawa Timur 65391","https://www.google.com/maps/place/Coban+rondo+malang+jawa+timur/@-7.884994,112.4685643,15z/data=!4m10!1m2!2m1!1sCoban+rondo!3m6!1s0x2e78874107d106e7:0xe9562a2f582ee112!8m2!3d-7.884994!4d112.477319!15sCgtDb2JhbiByb25kb5IBEnRvdXJpc3RfYXR0cmFjdGlvbuABAA!16s%2Fg%2F11khkgxx7x?hl=id&entry=ttu",15000,2,4.5,-7.884994,112.4685643
Coban Grojogan Sewu,"Coban Grojogan Sewu berlokasi di Desa Bendosari, Kecamatan Pujon, Malang, Jawa Timur. Air terjun ini menawarkan keindahan alam dengan aliran air yang deras dan segar serta dikelilingi oleh hutan yang hijau. Coban Grojogan Sewu memberikan suasana yang tenang dan menenangkan, cocok untuk trekking dan fotografi alam. Fasilitas di Coban Grojogan Sewu termasuk area parkir dan warung makan.","Desa Pandesari, Pujon","Tempat parkir, toilet, musholla, jembatan, area camping","makadam, kendaraan roda 2 dan 4",Air Terjun,Solo,No,"4CMF+C8Q, Dadapan Wetan, Bendosari, Kec. Pujon, Kabupaten Malang, Jawa Timur 65391","https://www.google.com/maps/place/Grojogan+Sewu/@-7.8664075,112.4207749,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7887a1073e1ce7:0x4fdbae6fe33510b0!8m2!3d-7.8664128!4d112.4233498!16s%2Fg%2F11b6_nvy3v?entry=ttu",10000,2,4.4,-7.8664128,112.4233498
Alas Pujon Coban Sadang,"Coban Sadang, terletak di Alas Pujon, Kecamatan Pujon, Malang, Jawa Timur, menawarkan pemandangan alam yang mempesona dengan aliran air yang jernih dan segar. Dikelilingi oleh hutan dan vegetasi hijau, Coban Sadang memberikan suasana yang sejuk dan alami. Tempat ini cocok untuk trekking dan piknik. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Bendosari, Pujon","Tempat parkir, warung makan, toilet, musholla, jembatan, area bermain, flying fox","jalan aspal, kendaraan roda 2 dan roda 4, bus",Air Terjun,Solo,No,"Dadapan Kulon, Bendosari, Kec. Pujon, Kabupaten Malang, Jawa Timur 65391",https://maps.app.goo.gl/g932FydWBdpgPNAd7,10000,2,3.7,-7.8697572,112.4104503
Coban Tundo,"Coban Tundo berlokasi di Desa Sidomulyo, Kecamatan Dampit, Malang, Jawa Timur. Air terjun ini terkenal dengan keindahan alamnya yang masih alami dan aliran air yang jernih serta segar. Dikelilingi oleh hutan lebat dan perbukitan hijau, Coban Tundo memberikan suasana yang tenang dan menenangkan. Tempat ini cocok untuk trekking dan piknik. Fasilitas di Coban Tundo termasuk area parkir dan warung makan.","Desa Tambakasri, Sumbermanjing Wetan","Tempat parkir, warung makan, toilet, musholla, jembatan gantung, area camping","makadam, Tracking",Air Terjun,Solo,No,"MQ5V+GWC, Gunung, Tambakasri, Kec. Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur 65181","https://www.google.com/maps/place/Coban+Tundo/@-8.3411755,112.7921982,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd61aceb8bd2a33:0xa9bb3fee309b9519!8m2!3d-8.3411808!4d112.7947731!16s%2Fg%2F11bzsfy1rn?entry=ttu",10000,2,4.4,-8.3411755,112.7921982
Coban Cinde,"Coban Cinde terletak di Desa Benjor, Kecamatan Tumpang, Malang, Jawa Timur. Air terjun ini menawarkan pemandangan yang indah dengan aliran air yang deras dan segar. Dikelilingi oleh hutan dan vegetasi hijau, Coban Cinde memberikan suasana yang sejuk dan alami. Tempat ini cocok untuk trekking dan fotografi alam. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Benjor, Tumpang","Tempat parkir, warung makan, toilet, musholla, area camping","makadam, kendaraan roda 2 dan 4",Air Terjun,Solo,No,"2R5R+P3H, Benjor, Kec. Tumpang, Kabupaten Malang, Jawa Timur 65156","https://www.google.com/maps/place/Air+Terjun+Cinde/@-7.9906809,112.8402434,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd630757a5dc743:0x742b14637b753efa!8m2!3d-7.9906809!4d112.8402434!16s%2Fg%2F11btxcnj_7?hl=id&entry=ttu",10000,2,4.3,-7.9906809,112.8402434
Coban Sumber Pitu,"Coban Sumber Pitu berlokasi di Desa Pujon Kidul, Kecamatan Pujon, Malang, Jawa Timur. Air terjun ini unik dengan tujuh aliran air yang mengalir dari satu sumber, menciptakan pemandangan yang spektakuler. Dikelilingi oleh hutan dan vegetasi hijau, Coban Sumber Pitu menawarkan suasana yang sejuk dan alami. Tempat ini cocok untuk trekking dan fotografi alam. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Duwet Krajan, Tumpang","Tempat parkir, warung makan, toilet, musholla, area camping","makadam, kendaraan roda 2 dan 4",Air Terjun,Solo,No,"Krajan, Duwet Krajan, Kec. Tumpang, Kabupaten Malang, Jawa Timur 65156","https://www.google.com/maps/place/Air+Terjun+Sumber+Pitu/@-7.9545512,112.6419409,11z/data=!4m10!1m2!2m1!1scoban+sumber+pitu!3m6!1s0x2dd63ac87acac5d5:0x923963e602a1b0e2!8m2!3d-8.0135832!4d112.8217266!15sChFjb2JhbiBzdW1iZXIgcGl0dVoTIhFjb2JhbiBzdW1iZXIgcGl0dZIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSQ2Fra3RaMk4zRUFF4AEA!16s%2Fg%2F11bwh4mzms?hl=id&entry=ttu",15000,2,4.4,-7.9545512,112.6419409
Coban Glothak,"Coban Glothak terletak di Desa Bendosari, Kecamatan Pujon, Malang, Jawa Timur. Air terjun ini menawarkan pemandangan yang indah dengan aliran air yang deras dan segar serta dikelilingi oleh hutan yang hijau. Coban Glothak memberikan suasana yang tenang dan menenangkan, cocok untuk trekking dan fotografi alam. Fasilitas di Coban Glothak termasuk area parkir dan warung makan.","Desa Dalisodo, Wagir","Tempat parkir, warung makan, toilet, musholla, area camping","makadam, Tracking",Air Terjun,Solo,No,"2G9C+5F3, Jalan Raya Coban Glothak, Area Hutan, Dalisodo, Wagir, Kabupaten Malang, East Java 65158","https://www.google.com/maps/place/Coban+Glotak/@-7.9821112,112.518978,17z/data=!4m10!1m2!2m1!1scoban+glothak!3m6!1s0x2e7882d200baf25f:0xe635f89598cb46c0!8m2!3d-7.9821112!4d112.5211667!15sCg1jb2JhbiBnbG90aGFrWg8iDWNvYmFuIGdsb3RoYWuSARJ0b3VyaXN0X2F0dHJhY3Rpb27gAQA!16s%2Fg%2F11b6_j27ff?hl=id&entry=ttu",10000,2,4.4,-7.9821112,112.51897800
Sumber Ranu Sosro,"Sumber Ranu Sosro terletak di Desa Ngajum, Kecamatan Ngajum, Malang, Jawa Timur. Sumber air alami ini dikenal dengan keindahan airnya yang jernih dan segar. Dikelilingi oleh vegetasi hijau dan pepohonan, Sumber Ranu Sosro menciptakan suasana yang sejuk dan alami. Tempat ini cocok untuk berenang, berendam, dan piknik bersama keluarga. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Tirtomoyo, Ampelgading","Tempat parkir, warung makan, toilet, musholla, pemandian air panas, perahu wisata, penginapan","aspal, kendaraan roda 2 & 4",Sumber,"Family, Solo",Yes,"QVCM+8Q5, Sumbersewu, Tirtomoyo, Kec. Ampelgading, Kabupaten Malang, Jawa Timur 65183","https://www.google.com/maps/place/Ranu+Sosro+%EA%A6%AB%EA%A6%A4%EA%A6%B8%EA%A6%B1%EA%A6%B1%EA%A6%BF/@-8.2292383,112.8844729,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd617eabe7058d7:0xce8ea1685666e!8m2!3d-8.2292383!4d112.8844729!16s%2Fg%2F11hzw3400l?hl=id&entry=ttu",15000,2,4.4,-8.2292383,112.8844729
Kolam Renang “Sumber Palung”,"Kolam Renang Sumber Palung berlokasi di Desa Sumber Pasir, Kecamatan Pakis, Malang, Jawa Timur. Kolam renang ini memanfaatkan sumber air alami yang jernih dan segar, menawarkan pengalaman berenang yang menyegarkan. Dikelilingi oleh pemandangan alam yang asri, kolam renang ini cocok untuk rekreasi keluarga dan aktivitas olahraga air. Fasilitas di kolam renang ini termasuk area parkir, kamar ganti, dan warung makan.","Desa Kasri, Bululawang","Tempat parkir, warung makan, toilet, musholla,","aspal, kendaraan roda 2 & 4",Sumber,"Family, Solo",Yes,"2PGP+MCP, Ngerangin, Sumberpasir, Kec. Pakis, Kabupaten Malang, Jawa Timur 65154","https://www.google.com/maps/place/Kp+Telaga+Biru/@-7.9728358,112.7340292,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd62f2f43e5e9d1:0x5e00d67feae05c00!8m2!3d-7.9728411!4d112.7366041!16s%2Fg%2F11sdyjsfmw?entry=ttu",10000,2,4.9,-7.9728411,112.7366041
